대명에너지|2022/03/16|-|%|-|-%|-|%|예정
지투파워|2022/03/14|-|%|-|-%|-|%|예정
브이씨|2022/02/24|-|%|-|-%|-|%|예정
바이오에프디엔씨|2022/02/21|-|%|28000|-%|-|%|예정
한국스팩10호|2022/02/21|-|%|2000|-%|-|%|예정
인카금융서비스|2022/02/16|-|%|18000|-%|-|%|예정
나래나노텍|2022/02/08|-|%|17500|-%|-|%|예정
아셈스|2022/02/07|-|%|8000|-%|-|%|예정
에스디바이오센서|2021/07/16|60500|10.00%|52000|16.35%|57000|9.62%|61000
오비고|2021/07/13|14350|0.35%|14300|0.35%|19200|34.27%|20700
아모센스|2021/06/25|17750|5.97%|12400|43.15%|12250|-1.21%|15900
이노뎁|2021/06/18|18900|-1.31%|18000|5%|22200|23.33%|18050
삼성머스트스팩5호|2021/06/17|3010|1.86%|2000|50.5%|4000|100%|5200
라온테크|2021/06/17|38000|5.41%|18000|111.11%|20250|12.5%|20500
엘비루셈|2021/06/11|11250|2.27%|14000|-19.64%|18000|28.57%|15200
에이디엠코리아|2021/06/03|6340|0.96%|3800|66.84%|7600|100%|9880
제주맥주|2021/05/26|2050|3.54%|3200|-35.94%|4780|49.38%|4900
진시스템|2021/05/26|10350|8.83%|20000|-48.25%|19100|-4.5%|17400
삼영에스앤씨|2021/05/21|10150|1.00%|11000|-7.73%|22000|100%|28600
삼성스팩4호|2021/05/21|4430|1.72%|2000|121.5%|2070|3.5%|2105
NH스팩19호|2021/05/21|2090|0.24%|2000|4.5%|2075|3.75%|2100
샘씨엔에스|2021/05/20|6200|2.99%|6500|-4.62%|6400|-1.54%|8320
씨앤씨인터내셔널|2021/05/17|15900|2.91%|47500|-66.53%|47250|-0.53%|41150
에이치피오|2021/05/14|11050|4.25%|22200|-50.23%|20000|-9.91%|16750
SK아이이테크놀로지|2021/05/11|115000|-9.45%|105000|9.52%|210000|100%|154500
하이스팩6호|2021/05/10|2105|0.24%|2000|5.25%|2060|3%|2065
쿠콘|2021/04/28|52800|1.93%|45000|17.33%|80000|77.78%|65500
해성티피씨|2021/04/21|8500|5.99%|13000|-34.62%|26000|100%|33800
이삭엔지니어링|2021/04/21|11400|1.33%|11500|-0.87%|23000|100%|26150
유진스팩6호|2021/04/08|2165|0.23%|2000|8.25%|2050|2.5%|2045
유안타스팩8호|2021/04/05|2105|0.48%|2000|5.25%|2030|1.5%|2030
엔시스|2021/04/01|19650|-0.25%|19000|3.42%|38000|100%|31400
자이언트스텝|2021/03/24|45550|4.71%|11000|314.09%|22000|100%|28600
제노코|2021/03/24|22400|4.43%|36000|-37.78%|65000|80.56%|80100
라이프시맨틱스|2021/03/23|8950|7.19%|12500|-28.4%|25000|100%|17500
SK바이오사이언스|2021/03/18|165000|2.48%|65000|153.85%|130000|100%|169000
바이오다인|2021/03/17|30600|1.16%|30000|2%|40000|33.33%|42600
네오이뮨텍|2021/03/16|6950|4.98%|7500|-7.33%|15000|100%|14350
디비금융스팩9호|2021/03/16|2105|0.24%|2000|5.25%|2025|1.25%|2020
프레스티지바이오로직스|2021/03/11|7870|-0.13%|12400|-36.53%|12100|-2.42%|14300
싸이버원|2021/03/11|12200|12.44%|9500|28.42%|18000|89.47%|21200
나노씨엠에스|2021/03/09|61000|2.52%|20000|205%|33000|65%|23950
하나머스트스팩7호|2021/03/05|2120|-0.47%|2000|6%|2055|2.75%|2050
뷰노|2021/02/26|12350|3.35%|21000|-41.19%|32900|56.67%|32150
IBKS스팩15호|2021/02/26|2555|7.13%|2000|27.75%|2060|3%|2070
유일에너테크|2021/02/25|20450|-0.49%|16000|27.81%|32000|100%|34500
씨이랩|2021/02/24|23100|5.72%|35000|-34%|46600|33.14%|40800
오로스테크놀로지|2021/02/24|25300|7.66%|21000|20.48%|42000|100%|54600
피엔에이치테크|2021/02/16|28000|2.38%|18000|55.56%|20500|13.89%|23850
하나금융스팩17호|2021/02/10|2810|0.00%|2000|40.5%|2045|2.25%|2050
프레스티지바이오파마|2021/02/05|16100|-0.62%|32000|-49.69%|28800|-10%|32800
아이퀘스트|2021/02/05|9720|2.64%|11000|-11.64%|22000|100%|20000
신한스팩7호|2021/02/04|2080|0.24%|2000|4%|2020|1%|2030
와이더플래닛|2021/02/03|16250|0.31%|16000|1.56%|24900|55.63%|20000
레인보우로보틱스|2021/02/03|21750|3.33%|10000|117.5%|20000|100%|26000
솔루엠|2021/02/02|22700|1.34%|17000|33.53%|34000|100%|29150
