UNLISTED|115400|명보기업|운송장비용의자제조업|2억원|2009.09.22
UNLISTED|951311|디아메스코|그외기타의료용기기제조업|0억원|2020.07.03
UNLISTED|044500|로코스텍|반도체산업및산업자동화를위한검사장비반도체|15억원|2003.10.08
UNLISTED|812328|스타링크|기타운송장비임대업|0억원|2012.02.03
UNLISTED|411740|와이즐리컴퍼니|날붙이제조업|4억원|2021.06.09
UNLISTED|951310|도우인시스|액정평판디스플레이제조업|0억원|2020.07.03
UNLISTED|337280|현우테크|목재깔판류및기타적재판제조업|26억원|2020.10.26
UNLISTED|159860|바이오닉스|기타의료용기기제조업|18억원|2012.02.03
UNLISTED|951319|미디어프론트|광고영화및비디오물제작업|0억원|2020.07.07
KOSDAQ|021880|메이슨캐피탈|금융리스업|366억원|2004.08.30
UNLISTED|951317|메쉬코리아|자료처리업|0억원|2020.07.06
UNLISTED|951318|무신사|전자상거래업|2억원|2020.07.07
UNLISTED|286850|에이치피바이오(구.에이치피바이오연구소)|자연과학및공학연구개발업|33억원|2018.10.04
UNLISTED|951316|레보스케치|그외기타의료용기기제조업|0억원|2020.07.06
UNLISTED|951313|라이언게임즈|기타게임소프트웨어개발및공급업|0억원|2020.07.03
UNLISTED|160830|아이엔에스(구.파워챔프)|기타전자부품제조업|21억원|2013.10.08
UNLISTED|811018|성광금속|강관제조업|11억원|2012.02.03
KONEX|093510|엔지브이아이|자동차신품부품제조업|30억원|2019.09.05
UNLISTED|297500|엔캣|의복액세서리및모조장신구도매업|9억원|2021.03.22
KOSDAQ|019540|일지테크|자동차차체용부품제조업|68억원|2002.09.12
KOSDAQ|094840|슈프리마에이치큐|통신및방송장비제조업|52억원|2008.02.20
UNLISTED|398290|옥션짐|시스템소프트웨어개발및공급업|9억원|2021.10.05
UNLISTED|325290|비트젠|응용소프트웨어개발및공급업|20억원|2021.03.18
UNLISTED|357740|새롬바이오|건강기능식품제조업|4억원|2021.01.06
UNLISTED|826976|한수|기타분류안된화학제품제조업|0억원|2012.02.03
UNLISTED|951322|바이오케이원|그외기타의료용기기제조업|0억원|2020.07.09
UNLISTED|951323|바이오텐|동물용사료및조제식품제조업|0억원|2020.07.09
UNLISTED|951320|미투유|그외기타금융지원서비스업|0억원|2020.07.08
UNLISTED|951321|바이오오케스트라|그외기타의료용기기제조업|0억원|2020.07.08
UNLISTED|800362|건아씨앤디|주거용건물개발및공급업|0억원|2012.02.03
UNLISTED|045840|민텔|통신장비제조서비스|7억원|2002.10.07
UNLISTED|285530|아이스트로|산업용냉장및냉동장비제조업|5억원|2021.03.17
KOSDAQ|019570|리더스기술투자|기타투자기관|200억원|2002.09.04
UNLISTED|061070|세네스(구.폴스타)|전자부품컴퓨터영상음향및통신장비제조업|25억원|2002.10.15
KOSDAQ|032500|케이엠더블유|방송및무선통신장비제조업|81억원|2002.09.12
KOSDAQ|033830|티비씨|지상파방송업|500억원|2009.05.21
KOSPI|006260|LS|기타절연선및케이블제조업|1610억원|2002.11.20
UNLISTED|800333|건남개발|주거용건물개발및공급업|0억원|2012.02.03
UNLISTED|825632|하남산업|비주거용건물임대업|0억원|2012.02.03
