앱코|24300|미래에셋대우|2020.11.17~11.18|2020.11.17|2020.11.18|2020.11.17|21400~24300|21400~24300|21400~24300|53649|53649|1141.02:1|3.64%|2020.11.23~11.24|2020.11.23|2020.11.24|978.13:1|true|true|true|true|2020/12/02|14050|-0.35%|-42.18%|30150|24.07%|28900
현대사료|6600|신한금융투자|2018.05.16~05.17|2018.05.16|2018.05.17|2018.05.16|5700~6600|5700~6600|5700~6600|8699|8699|839.16:1|31.92%|2018.05.23~05.24|2018.05.23|2018.05.24|1690:1|true|true|true|true|2018/06/01|-|%|%|13200|100%|17150
로보티즈|14000|미래에셋대우,KTB투자증권|2018.10.10~10.11|2018.10.10|2018.10.11|2018.10.10|9200~11300|9200~11300|9200~11300|15640|15640|958.60:1|39.80%|2018.10.17~10.18|2018.10.17|2018.10.18|1043.92:1|true|true|true|true|2018/10/26|24300|11.21%|73.57%|28000|100%|19600
락앤락|15700|한국투자증권|2010.01.14~01.15|2010.01.14|2010.01.15|2010.01.14|14000~15700|14000~15700|14000~15700|157000|157000||-|2010.01.20~01.21|2010.01.20|2010.01.21|24.85:1|true|true|true|true|2010/01/28|-|%|%|20000|27.39%|23000
신한스팩2호|2000|신한금융투자|2014.09.24~09.25|2014.09.24|2014.09.25|2014.09.24|2000~2000|2000~2000|2000~2000|10000|10000||-|2014.09.29~09.30|2014.09.29|2014.09.30|64.46:1|true|true|true|true|2014/10/13|-|%|%|1990|-0.5%|1995
유안타스팩1호|2000|유안타증권|2014.11.03~11.04|2014.11.03|2014.11.04|2014.11.03|2000~2000|2000~2000|2000~2000|11000|11000||-|2014.11.10~11.11|2014.11.10|2014.11.11|62.9:1|true|true|true|true|2014/11/19|-|%|%|2045|2.25%|2055
유틸렉스|50000|NH투자증권|2018.12.10~12.11|2018.12.10|2018.12.11|2018.12.10|38000~50000|38000~50000|38000~50000|27626|27626|597.20:1|18.63%|2018.12.13~12.14|2018.12.13|2018.12.14|322.96:1|true|true|true|true|2018/12/24|19100|4.37%|-61.8%|60100|20.2%|78100
모두투어리츠|6000|교보증권,케이비투자증권|-~-|null|null|-|6000~6000|6000~6000|6000~6000|14100|14100||-|2016.09.01~09.02|2016.09.01|2016.09.02|0.98:1|true|true|true|true|2016/09/22|-|%|%|5700|-5%|5230
옵티팜|10000|NH투자증권|2018.10.11~10.12|2018.10.11|2018.10.12|2018.10.11|10000~12000|10000~12000|10000~12000|29458|29458|94.57:1|11.60%|2018.10.16~10.17|2018.10.16|2018.10.17|463.49:1|true|true|true|true|2018/10/26|9670|4.43%|-3.3%|9000|-10%|11700
차이나크리스탈신소재|3000|신한금융투자|2016.01.14~01.15|2016.01.14|2016.01.15|2016.01.14|2900~4200|2900~4200|2900~4200|26970|26970|36.30:1|0.90%|2016.01.21~01.22|2016.01.21|2016.01.22|179.54:1|true|true|true|true|2016/01/28|-|%|%|4000|33.33%|3870
제일홀딩스|20700|케이비증권,신한금융투자|2017.06.12~06.13|2017.06.12|2017.06.13|2017.06.12|20700~22700|20700~22700|20700~22700|442267|442267|113.98:1|2.88%|2017.06.19~06.20|2017.06.19|2017.06.20|20.67:1|true|true|true|true|2017/06/30|8930|2.76%|-56.86%|18650|-9.9%|19050
랩지노믹스|13200|한국투자증권|2014.12.01~12.02|2014.12.01|2014.12.02|2014.12.01|12000~13200|12000~13200|12000~13200|3000|3000|423.83:1|-|2014.12.05~12.08|2014.12.05|2014.12.08|305.88:1|true|true|true|true|2014/12/16|-|%|%|16650|26.14%|14250
한국파마|9000|미래에셋대우,SK증권|2020.07.22~07.23|2020.07.22|2020.07.23|2020.07.22|6500~8500|6500~8500|6500~8500|21079|21079|1296.86:1|-|2020.07.29~07.30|2020.07.29|2020.07.30|2036:1|true|true|true|true|2020/08/10|36200|7.42%|302.22%|18000|100%|16850
셀레믹스|20000|대신증권|2020.08.03~08.04|2020.08.03|2020.08.04|2020.08.03|16100~20000|16100~20000|16100~20000|21252|21252|1203.41:1|5.41%|2020.08.10~08.11|2020.08.10|2020.08.11|1176.45:1|true|true|true|true|2020/08/21|11200|4.67%|-44%|24900|24.5%|25800
케이프|18000|미래에셋증권|2007.05.08~-|2007.05.08|null|2007.05.08|14500~16500|14500~16500|14500~16500|31500|31500||99.90%|2007.05.15~05.17|2007.05.15|2007.05.17|591.2:1|true|true|true|true|2007/05/29|-|%|%|36000|100%|30600
아이레보|6300|교보증권|-~-|null|null|-|5000~6500|5000~6500|5000~6500|10500|10500||-|2003.12.15~12.16|2003.12.15|2003.12.16||true|true|true|false|null|null|null|null|null|null|null
웅진에너지|9500|대신증권|2010.06.15~06.16|2010.06.15|2010.06.16|2010.06.15|7500~8500|7500~8500|7500~8500|119100|119100||-|2010.06.21~06.22|2010.06.21|2010.06.22|162.69:1|true|true|true|true|2010/06/30|-|%|%|12000|26.32%|13800
